comment_sentence_id,class,comment_sentence,category,outlier
512,MigrationGraph,migrations files can be marked as replacing another set of migrations,4,0
513,MigrationGraph,this is to support the squash feature.,4,0
514,MigrationGraph,the graph handler isn t responsible,4,0
515,MigrationGraph,"for these instead, the code to load them in here should examine the",4,0
516,MigrationGraph,migration files and if the replaced migrations are all either unapplied,4,0
517,MigrationGraph,"or not present, it should ignore the replaced ones, load in just the",4,0
518,MigrationGraph,"replacing migration, and repoint any dependencies that pointed to the",4,0
519,MigrationGraph,replaced migrations to point to the replacing one.,4,0
18,Atomic,"when it s used as a decorator, call wraps the execution of the",4,0
19,Atomic,"decorated function in the instance itself, used as a context manager.",4,0
20,Atomic,"when it s used as a context manager, enter creates a transaction or a",4,0
21,Atomic,"savepoint, depending on whether a transaction is already in progress, and",4,0
22,Atomic,"exit commits the transaction or releases the savepoint on normal exit,",4,0
23,Atomic,and rolls back the transaction or to the savepoint on exceptions.,4,0
24,Atomic,it s possible to disable the creation of savepoints if the goal is to,4,0
25,Atomic,ensure that some code runs within a transaction without creating overhead.,4,0
26,Atomic,a stack of savepoints identifiers is maintained as an attribute of the,4,0
27,Atomic,connection.,4,0
28,Atomic,none denotes the absence of a savepoint.,4,0
29,Atomic,this allows reentrancy even if the same atomicwrapper is reused.,4,0
288,Combinable,for example f foo f bar .,4,0
554,MigrationLoader,this does mean that this class must also talk to the database as well as,4,0
555,MigrationLoader,"to disk, but this is probably fine.",4,0
556,MigrationLoader,we re already not just operating,4,0
557,MigrationLoader,in memory.,4,0
575,MigrationQuestioner,"this base class has a built in noninteractive mode, but the",4,0
576,MigrationQuestioner,interactive subclass is what the command line arguments will use.,4,0
66,AutoFieldMeta,in many areas django also relies on using isinstance to check for an,4,0
67,AutoFieldMeta,automatically generated field as a subclass of autofield.,4,0
68,AutoFieldMeta,a new flag needs,4,0
69,AutoFieldMeta,to be implemented on field to be used instead.,4,0
338,ErrorDict,"the dictionary keys are the field names, and the values are the errors.",4,0
600,MultiValueDict,"d multivaluedict name adrian , simon , position developer",4,0
601,MultiValueDict,d name,4,0
602,MultiValueDict,simon,4,0
603,MultiValueDict,d^getlist name,4,0
605,MultiValueDict,d^getlist doesnotexist,4,0
94,BaseCommand,if you are interested in overriding customizing various aspects of,4,0
95,BaseCommand,"the command parsing and execution behavior, the normal flow works",4,0
96,BaseCommand,as follows,4,0
608,MultiValueDict,"d^get lastname , nonexistent",4,0
97,BaseCommand,1,4,0
609,MultiValueDict,nonexistent,4,0
98,BaseCommand,django admin or manage^py loads the command class,4,0
610,MultiValueDict,"d^setlist lastname , holovaty , willison",4,0
99,BaseCommand,and calls its run from argv method.,4,0
100,BaseCommand,2,4,0
101,BaseCommand,the run from argv method calls create parser to get,4,0
102,BaseCommand,"an argumentparser for the arguments, parses them, performs",4,0
103,BaseCommand,any environment changes requested by options like,4,0
104,BaseCommand,"pythonpath , and then calls the execute method,",4,0
105,BaseCommand,passing the parsed arguments.,4,0
873,VariableWrapper,this can be used generally for any other object that should be passed into,4,0
106,BaseCommand,3,4,0
874,VariableWrapper,cursor^execute as is.,4,0
107,BaseCommand,the execute method attempts to carry out the command by,4,0
108,BaseCommand,calling the handle method with the parsed arguments any,4,0
109,BaseCommand,output produced by handle will be printed to standard,4,0
110,BaseCommand,"output and, if the command is intended to produce a block of",4,0
111,BaseCommand,"sql statements, will be wrapped in begin and commit .",4,0
112,BaseCommand,4,4,0
