comment_sentence_id,class,comment_sentence,category
512,MigrationGraph,migrations files can be marked as replacing another set of migrations,Usage
513,MigrationGraph,this is to support the squash feature.,Usage
514,MigrationGraph,the graph handler isn t responsible,Usage
515,MigrationGraph,"for these instead, the code to load them in here should examine the",Usage
516,MigrationGraph,migration files and if the replaced migrations are all either unapplied,Usage
517,MigrationGraph,"or not present, it should ignore the replaced ones, load in just the",Usage
518,MigrationGraph,"replacing migration, and repoint any dependencies that pointed to the",Usage
519,MigrationGraph,replaced migrations to point to the replacing one.,Usage
18,Atomic,"when it s used as a decorator, call wraps the execution of the",Usage
19,Atomic,"decorated function in the instance itself, used as a context manager.",Usage
20,Atomic,"when it s used as a context manager, enter creates a transaction or a",Usage
21,Atomic,"savepoint, depending on whether a transaction is already in progress, and",Usage
22,Atomic,"exit commits the transaction or releases the savepoint on normal exit,",Usage
23,Atomic,and rolls back the transaction or to the savepoint on exceptions.,Usage
24,Atomic,it s possible to disable the creation of savepoints if the goal is to,Usage
25,Atomic,ensure that some code runs within a transaction without creating overhead.,Usage
26,Atomic,a stack of savepoints identifiers is maintained as an attribute of the,Usage
27,Atomic,connection.,Usage
28,Atomic,none denotes the absence of a savepoint.,Usage
29,Atomic,this allows reentrancy even if the same atomicwrapper is reused.,Usage
288,Combinable,for example f foo f bar .,Usage
554,MigrationLoader,this does mean that this class must also talk to the database as well as,Usage
555,MigrationLoader,"to disk, but this is probably fine.",Usage
556,MigrationLoader,we re already not just operating,Usage
557,MigrationLoader,in memory.,Usage
575,MigrationQuestioner,"this base class has a built in noninteractive mode, but the",Usage
576,MigrationQuestioner,interactive subclass is what the command line arguments will use.,Usage
66,AutoFieldMeta,in many areas django also relies on using isinstance to check for an,Usage
67,AutoFieldMeta,automatically generated field as a subclass of autofield.,Usage
68,AutoFieldMeta,a new flag needs,Usage
69,AutoFieldMeta,to be implemented on field to be used instead.,Usage
338,ErrorDict,"the dictionary keys are the field names, and the values are the errors.",Usage
600,MultiValueDict,"d multivaluedict name adrian , simon , position developer",Usage
601,MultiValueDict,d name,Usage
602,MultiValueDict,simon,Usage
603,MultiValueDict,d^getlist name,Usage
605,MultiValueDict,d^getlist doesnotexist,Usage
94,BaseCommand,if you are interested in overriding customizing various aspects of,Usage
95,BaseCommand,"the command parsing and execution behavior, the normal flow works",Usage
96,BaseCommand,as follows,Usage
608,MultiValueDict,"d^get lastname , nonexistent",Usage
97,BaseCommand,1,Usage
609,MultiValueDict,nonexistent,Usage
98,BaseCommand,django admin or manage^py loads the command class,Usage
610,MultiValueDict,"d^setlist lastname , holovaty , willison",Usage
99,BaseCommand,and calls its run from argv method.,Usage
100,BaseCommand,2,Usage
101,BaseCommand,the run from argv method calls create parser to get,Usage
102,BaseCommand,"an argumentparser for the arguments, parses them, performs",Usage
103,BaseCommand,any environment changes requested by options like,Usage
104,BaseCommand,"pythonpath , and then calls the execute method,",Usage
105,BaseCommand,passing the parsed arguments.,Usage
873,VariableWrapper,this can be used generally for any other object that should be passed into,Usage
106,BaseCommand,3,Usage
874,VariableWrapper,cursor^execute as is.,Usage
107,BaseCommand,the execute method attempts to carry out the command by,Usage
108,BaseCommand,calling the handle method with the parsed arguments any,Usage
109,BaseCommand,output produced by handle will be printed to standard,Usage
110,BaseCommand,"output and, if the command is intended to produce a block of",Usage
111,BaseCommand,"sql statements, will be wrapped in begin and commit .",Usage
112,BaseCommand,4,Usage
113,BaseCommand,if handle or execute raised any exception eg,Usage
114,BaseCommand,"commanderror , run from argv will instead print an error",Usage
115,BaseCommand,message to stderr .,Usage
895,XFrameOptionsMiddleware,"by default, set the x frame options header to sameorigin , meaning the",Usage
896,XFrameOptionsMiddleware,response can only be loaded on a frame within the same site.,Usage
897,XFrameOptionsMiddleware,to prevent the,Usage
898,XFrameOptionsMiddleware,"response from being loaded in a frame in any site, set x frame options in",Usage
387,Individual,"it won t be registered with the admin, so the",Usage
899,XFrameOptionsMiddleware,your project s django settings to deny .,Usage
388,Individual,corresponding raw id widget won t have a magnifying glass link to select,Usage
389,Individual,related instances rendering will be called programmatically in this case .,Usage
