comment_sentence_id,class,comment_sentence,category
512,MigrationGraph,migrations files can be marked as replacing another set of migrations,4
513,MigrationGraph,this is to support the squash feature.,4
514,MigrationGraph,the graph handler isn t responsible,4
515,MigrationGraph,"for these instead, the code to load them in here should examine the",4
516,MigrationGraph,migration files and if the replaced migrations are all either unapplied,4
517,MigrationGraph,"or not present, it should ignore the replaced ones, load in just the",4
518,MigrationGraph,"replacing migration, and repoint any dependencies that pointed to the",4
519,MigrationGraph,replaced migrations to point to the replacing one.,4
18,Atomic,"when it s used as a decorator, call wraps the execution of the",4
19,Atomic,"decorated function in the instance itself, used as a context manager.",4
20,Atomic,"when it s used as a context manager, enter creates a transaction or a",4
21,Atomic,"savepoint, depending on whether a transaction is already in progress, and",4
22,Atomic,"exit commits the transaction or releases the savepoint on normal exit,",4
23,Atomic,and rolls back the transaction or to the savepoint on exceptions.,4
24,Atomic,it s possible to disable the creation of savepoints if the goal is to,4
25,Atomic,ensure that some code runs within a transaction without creating overhead.,4
26,Atomic,a stack of savepoints identifiers is maintained as an attribute of the,4
27,Atomic,connection.,4
28,Atomic,none denotes the absence of a savepoint.,4
29,Atomic,this allows reentrancy even if the same atomicwrapper is reused.,4
288,Combinable,for example f foo f bar .,4
554,MigrationLoader,this does mean that this class must also talk to the database as well as,4
555,MigrationLoader,"to disk, but this is probably fine.",4
556,MigrationLoader,we re already not just operating,4
557,MigrationLoader,in memory.,4
575,MigrationQuestioner,"this base class has a built in noninteractive mode, but the",4
576,MigrationQuestioner,interactive subclass is what the command line arguments will use.,4
66,AutoFieldMeta,in many areas django also relies on using isinstance to check for an,4
67,AutoFieldMeta,automatically generated field as a subclass of autofield.,4
68,AutoFieldMeta,a new flag needs,4
69,AutoFieldMeta,to be implemented on field to be used instead.,4
338,ErrorDict,"the dictionary keys are the field names, and the values are the errors.",4
600,MultiValueDict,"d multivaluedict name adrian , simon , position developer",4
601,MultiValueDict,d name,4
602,MultiValueDict,simon,4
603,MultiValueDict,d^getlist name,4
605,MultiValueDict,d^getlist doesnotexist,4
94,BaseCommand,if you are interested in overriding customizing various aspects of,4
95,BaseCommand,"the command parsing and execution behavior, the normal flow works",4
96,BaseCommand,as follows,4
608,MultiValueDict,"d^get lastname , nonexistent",4
97,BaseCommand,1,4
609,MultiValueDict,nonexistent,4
98,BaseCommand,django admin or manage^py loads the command class,4
610,MultiValueDict,"d^setlist lastname , holovaty , willison",4
99,BaseCommand,and calls its run from argv method.,4
100,BaseCommand,2,4
101,BaseCommand,the run from argv method calls create parser to get,4
102,BaseCommand,"an argumentparser for the arguments, parses them, performs",4
103,BaseCommand,any environment changes requested by options like,4
104,BaseCommand,"pythonpath , and then calls the execute method,",4
105,BaseCommand,passing the parsed arguments.,4
873,VariableWrapper,this can be used generally for any other object that should be passed into,4
106,BaseCommand,3,4
874,VariableWrapper,cursor^execute as is.,4
107,BaseCommand,the execute method attempts to carry out the command by,4
108,BaseCommand,calling the handle method with the parsed arguments any,4
109,BaseCommand,output produced by handle will be printed to standard,4
110,BaseCommand,"output and, if the command is intended to produce a block of",4
111,BaseCommand,"sql statements, will be wrapped in begin and commit .",4
112,BaseCommand,4,4
113,BaseCommand,if handle or execute raised any exception eg,4
114,BaseCommand,"commanderror , run from argv will instead print an error",4
115,BaseCommand,message to stderr .,4
895,XFrameOptionsMiddleware,"by default, set the x frame options header to sameorigin , meaning the",4
896,XFrameOptionsMiddleware,response can only be loaded on a frame within the same site.,4
897,XFrameOptionsMiddleware,to prevent the,4
898,XFrameOptionsMiddleware,"response from being loaded in a frame in any site, set x frame options in",4
387,Individual,"it won t be registered with the admin, so the",4
899,XFrameOptionsMiddleware,your project s django settings to deny .,4
388,Individual,corresponding raw id widget won t have a magnifying glass link to select,4
389,Individual,related instances rendering will be called programmatically in this case .,4
691,Permission,"the permission system is used by the django admin site, but may also be",4
692,Permission,useful in your own code.,4
693,Permission,the django admin site uses permissions as follows,4
694,Permission,the add permission limits the user s ability to view the add form,4
695,Permission,and add an object.,4
696,Permission,the change permission limits a user s ability to view the change,4
697,Permission,"list, view the change form and change an object.",4
698,Permission,the delete permission limits the ability to delete an object.,4
699,Permission,the view permission limits the ability to view an object.,4
219,BCryptSHA256PasswordHasher,this is considered by many to be the most secure algorithm but you,4
220,BCryptSHA256PasswordHasher,must first install the bcrypt library.,4
483,Migration,it will have one or more,4
484,Migration,of the following attributes,4
485,Migration,"operations a list of operation instances, probably from django^db.migrations^operations",4
230,BoundWidget,"for example, the following can be used in a",4
486,Migration,"dependencies a list of tuples of app path, migration name",4
231,BoundWidget,template,4
487,Migration,"run before a list of tuples of app path, migration name",4
232,BoundWidget,% for radio in myform^beatles %,4
488,Migration,replaces a list of migration names,4
233,BoundWidget,label for radio^id for label,4
234,BoundWidget,radio^choice label,4
235,BoundWidget,span class radio radio^tag span,4
236,BoundWidget,label,4
237,BoundWidget,% endfor %,4
753,ReverseGenericManyToOneDescriptor,in the example,4
754,ReverseGenericManyToOneDescriptor,class post model,4
755,ReverseGenericManyToOneDescriptor,comments genericrelation comment,4
756,ReverseGenericManyToOneDescriptor,post^comments is a reversegenericmanytoonedescriptor instance.,4
960,Audio,"t np^linspace 0,5,framerate 5",4
961,Audio,data np^sin 2 np^pi 220 t np^sin 2 np^pi 224 t,4
962,Audio,"audio data,rate framerate",4
963,Audio,# can also do stereo or more channels,4
964,Audio,dataleft np^sin 2 np^pi 220 t,4
965,Audio,dataright np^sin 2 np^pi 224 t,4
966,Audio,"audio dataleft, dataright ,rate framerate",4
967,Audio,audio http www^nch.com^au acm 8k16bitpcm^wav # from url,4
968,Audio,audio url http www^w3schools^com html horse^ogg,4
969,Audio,audio path to sound^wav # from file,4
970,Audio,audio filename path to sound^ogg,4
971,Audio,audio b raw wav data.,4
972,Audio,.,4
973,Audio,# from bytes,4
974,Audio,audio data b raw wav data.,4
1166,TermColors,this class should be used as a mixin for building color schemes.,4
975,Audio,.,4
1110,Magics,"classes providing magic functions need to subclass this class, and they",4
1111,Magics,must,4
1112,Magics,use the method decorators @line magic and @cell magic to decorate,4
1113,Magics,"individual methods as magic functions, and",4
1114,Magics,use the class decorator @magics class to ensure that the magic,4
1115,Magics,methods are properly registered at the instance level upon instance,4
1116,Magics,initialization.,4
1186,YouTubeVideo,"eg to embed the video from https www^youtube.com watch?v foo , you would",4
1187,YouTubeVideo,do,4
1188,YouTubeVideo,vid youtubevideo foo,4
1189,YouTubeVideo,display vid,4
1190,YouTubeVideo,to start from 30 seconds,4
1191,YouTubeVideo,"vid youtubevideo abc , start 30",4
1192,YouTubeVideo,display vid,4
1193,YouTubeVideo,"to calculate seconds from time as hours, minutes, seconds use",4
1194,YouTubeVideo,class datetime^timedelta,4
1195,YouTubeVideo,"start int timedelta hours 1, minutes 46, seconds 40 ^total seconds",4
1196,YouTubeVideo,other parameters can be provided as documented at,4
1069,HistoryAccessor,this is intended for use by standalone history tools.,4
1070,HistoryAccessor,ipython shells use,4
1198,YouTubeVideo,"when converting the notebook using nbconvert, a jpeg representation of the video",4
1071,HistoryAccessor,"historymanager, below, which is a subclass of this.",4
1199,YouTubeVideo,will be inserted in the document.,4
956,Audio,examples,4
957,Audio,# generate a sound,4
958,Audio,import numpy as np,4
959,Audio,framerate 44100,4
1288,ConfigDict,examples,4
1289,ConfigDict,pot configdict rules potatoes how many potatoes?,4
1290,ConfigDict,", int , 0 ,",4
1291,ConfigDict,carrots how many carrots?,4
1292,ConfigDict,", int, 99 ,",4
1293,ConfigDict,"liquids fluids we like , false,",4
1294,ConfigDict,"water liters , int, 0 ,",4
1295,ConfigDict,"vodka liters , int, 12",4
1296,ConfigDict,",",4
1297,ConfigDict,"tags tags , c c , int, 0 ,",4
1298,ConfigDict,"x x , str, , ,",4
1299,ConfigDict,"colors colors , red , blue ,",4
1300,ConfigDict,"sorted pot^keys , sorted pot^values",4
1301,ConfigDict,"colors , liquids , tags , , ,",4
1302,ConfigDict,pot potatoes pot liquids vodka 123,4
1303,ConfigDict,pot potatoes,4
1304,ConfigDict,123,4
1305,ConfigDict,pot liquids vodka,4
1306,ConfigDict,123,4
1307,ConfigDict,pot carrots,4
1308,ConfigDict,99,4
1309,ConfigDict,pot^walk liquids^vodka,4
1310,ConfigDict,123,4
1311,ConfigDict,"pot^walk liquids vodka , parent true",4
1312,ConfigDict,", vodka",4
1313,ConfigDict,pot colors ^append red,4
1314,ConfigDict,0,4
1315,ConfigDict,"pot colors ^extend blue , red , red",4
1316,ConfigDict,pot colors,4
1317,ConfigDict,"red , blue , red , red",4
1319,ConfigDict,0,4
1320,ConfigDict,pot tags 0 c,4
1321,ConfigDict,123,4
1322,ConfigDict,pot tags ^append z invalid,4
1323,ConfigDict,traceback most recent call last,4
1324,ConfigDict,valueerror invalid value for config tags 1 .,4
1326,ConfigDict,traceback most recent call last,4
1327,ConfigDict,invalidkeyerror invalid key for config evil,4
1329,ConfigDict,traceback most recent call last,4
1330,ConfigDict,invalidkeyerror invalid key for config liquids evil,4
1332,ConfigDict,traceback most recent call last,4
1333,ConfigDict,valueerror invalid value for config potatoes moo,4
1335,ConfigDict,traceback most recent call last,4
1336,ConfigDict,configvalueerror invalid value for config colors 4 green,4
1337,ConfigDict,pot^rules potatoes,4
1338,ConfigDict,how many potatoes?,4
1339,ConfigDict,", type int , 0",4
1340,ConfigDict,"isinstance pot liquids , configdict",4
1341,ConfigDict,TRUE,4
1216,_MockPOP3,"pm pop3mailbox localhost , user bad , conn cls mockpop3",4
1217,_MockPOP3,traceback most recent call last,4
1218,_MockPOP3,accesserror,4
1219,_MockPOP3,"pm pop3mailbox localhost , user a , password b ,",4
1220,_MockPOP3,conn cls mockpop3,4
1221,_MockPOP3,pm^stat,4
1222,_MockPOP3,"2, 123456",4
1478,StorageBackedLongs,storage sbl x01 x00 x00 x00 x00 x00 x00 x00,4
1223,_MockPOP3,pm^iterkeys,4
1479,StorageBackedLongs,"sbl storagebackedlongs storage, sbl",4
1224,_MockPOP3,"evil , good",4
1480,StorageBackedLongs,1 in sbl,4
1225,_MockPOP3,"evil in pm, bogon in pm",4
1481,StorageBackedLongs,TRUE,4
1226,_MockPOP3,"true, false",4
1482,StorageBackedLongs,sbl^append 2,4
1227,_MockPOP3,msg subject for msg in pm,4
1483,StorageBackedLongs,sbl^save,4
1228,_MockPOP3,"msg 1 , msg 2",4
1484,StorageBackedLongs,"unpacklonglist storage sbl 1, 2",4
1229,_MockPOP3,"pm^get msg size evil , pm^get msg size good",4
1485,StorageBackedLongs,TRUE,4
1230,_MockPOP3,"47, 51",4
1231,_MockPOP3,pm^get bytes evil,4
1232,_MockPOP3,"from test@mailpile^is nsubject msg 1 n noh, hi!",4
1233,_MockPOP3,n,4
1235,_MockPOP3,from,4
1236,_MockPOP3,pm invalid key,4
1237,_MockPOP3,traceback most recent call last,4
1238,_MockPOP3,keyerror .,4
1504,VCardStore,# vcards are added to the collection using add vcard.,4
1505,VCardStore,this will,4
1506,VCardStore,"# create a file for the card on disk, using a random name.",4
1507,VCardStore,"vcs^add vcards mailpilevcard vcardline fn dude ,",4
1508,VCardStore,"vcardline email d@evil^com ,",4
1509,VCardStore,mailpilevcard vcardline fn guy,4
1510,VCardStore,vcards can be looked up directly by e mail.,4
1511,VCardStore,vcs^get vcard d@evil^com ^fn,4
1512,VCardStore,u dude,4
1513,VCardStore,vcs^get vcard nosuch@email^address is none,4
1514,VCardStore,TRUE,4
1515,VCardStore,or they can be found using searches.,4
1516,VCardStore,vcs^find vcards guy 0 ^fn,4
1517,VCardStore,u guy,4
1518,VCardStore,cards can be removed using del vcards,4
1519,VCardStore,vcs^del vcards vcs^get vcard d@evil^com,4
1520,VCardStore,vcs^get vcard d@evil^com is none,4
1521,VCardStore,TRUE,4
1522,VCardStore,vcs^del vcards vcs^find vcards guy,4
1523,VCardStore,vcs^find vcards guy,4
1666,CategoricalDtype,examples,4
1667,CategoricalDtype,"t pd^categoricaldtype categories b , a , ordered true",4
1668,CategoricalDtype,"pd^series a , b , a , c , dtype t",4
1669,CategoricalDtype,12:00 AM,4
1670,CategoricalDtype,1 b,4
1671,CategoricalDtype,2:00 AM,4
1672,CategoricalDtype,3 nan,4
1673,CategoricalDtype,dtype category,4
1674,CategoricalDtype,"categories 2, object b a",4
2327,StringMethods,examples,4
2328,StringMethods,s^str.split,4
2329,StringMethods,"s^str.replace ,",4
1577,BooleanArray,booleanarray implements kleene logic sometimes called three value,4
1580,BooleanArray,"to construct an booleanarray from generic array like input, use",4
1581,BooleanArray,func pandas^array specifying dtype boolean see examples,4
1967,IntervalDtype,examples,4
1968,IntervalDtype,pd^intervaldtype subtype int64,4
1585,BooleanArray,booleanarray is considered experimental.,4
1969,IntervalDtype,interval int64,4
1601,BooleanArray,booleanarray,4
1985,PlotAccessor,uses the backend specified by the,4
1602,BooleanArray,examples,4
1986,PlotAccessor,option plotting^backend .,4
1603,BooleanArray,create an booleanarray with func pandas^array,4
1987,PlotAccessor,"by default, matplotlib is used.",4
1604,BooleanArray,"pd^array true, false, none , dtype boolean",4
1605,BooleanArray,booleanarray,4
1606,BooleanArray,"true, false, na",4
1607,BooleanArray,"length 3, dtype boolean",4
2248,StringArray,stringarray is considered experimental.,4
1877,IntegerArray,"integerarray is currently experimental, and its api or internal",4
1751,CategoricalIndex,if an explicit ordered true is given but no categories and the,4
1879,IntegerArray,we represent an integerarray with 2 numpy arrays,4
1883,IntegerArray,func pandas^array with one of the integer dtypes see examples .,4
2270,StringArray,a stringarray.,4
2273,StringArray,examples,4
1761,CategoricalIndex,examples,4
2274,StringArray,"pd^array this is , some text , none, data.",4
1762,CategoricalIndex,"pd^categoricalindex a , b , c , a , b , c",4
2275,StringArray,", dtype string",4
1763,CategoricalIndex,"categoricalindex a , b , c , a , b , c , categories a , b , c , ordered false, dtype category # noqa",4
2276,StringArray,stringarray,4
1764,CategoricalIndex,categoricalindex can also be instantiated from a categorical,4
2277,StringArray,"this is , some text , na, data.",4
1765,CategoricalIndex,"c pd^categorical a , b , c , a , b , c",4
1766,CategoricalIndex,pd^categoricalindex c,4
1767,CategoricalIndex,"categoricalindex a , b , c , a , b , c , categories a , b , c , ordered false, dtype category # noqa",4
2280,StringArray,values.,4
1768,CategoricalIndex,ordered categoricalindex can have a min and max value.,4
1897,IntegerArray,integerarray,4
2282,StringArray,traceback most recent call last,4
1770,CategoricalIndex,"categories c , b , a",4
1898,IntegerArray,examples,4
1771,CategoricalIndex,ci,4
2284,StringArray,"for comparison methods, this returns a class pandas^booleanarray",4
1900,IntegerArray,"int array pd^array 1, none, 3 , dtype pd^int32dtype",4
1901,IntegerArray,int array,4
2286,StringArray,booleanarray,4
1774,CategoricalIndex,c,4
1902,IntegerArray,integerarray,4
2287,StringArray,"true, na, false",4
1903,IntegerArray,"1, nan, 3",4
1904,IntegerArray,"length 3, dtype int32",4
1905,IntegerArray,string aliases for the dtypes are also available.,4
1906,IntegerArray,they are capitalized.,4
1907,IntegerArray,"pd^array 1, none, 3 , dtype int32",4
1908,IntegerArray,integerarray,4
1909,IntegerArray,"1, nan, 3",4
1910,IntegerArray,"length 3, dtype int32",4
1911,IntegerArray,"pd^array 1, none, 3 , dtype uint16",4
1912,IntegerArray,integerarray,4
1913,IntegerArray,"1, nan, 3",4
1914,IntegerArray,"length 3, dtype uint16",4
3077,Markup,"to escape the text, use the",4
3078,Markup,meth escape class method instead.,4
3079,Markup,"markup hello, em world em !",4
3080,Markup,"markup hello, em world em !",4
3081,Markup,markup 42,4
3082,Markup,markup 42,4
3083,Markup,"markup^escape hello, em world em !",4
3084,Markup,markup hello &lt em&gt world&lt em&gt !,4
3085,Markup,this implements the html interface that some frameworks,4
3086,Markup,use.,4
3087,Markup,passing an object that implements html will wrap the,4
3088,Markup,"output of that method, marking it safe.",4
3089,Markup,class foo,4
3090,Markup,def html self,4
3091,Markup,return a href foo foo a,4
3092,Markup,markup foo,4
4117,TreeBuilder,documentclass the class to use for the bottommost node of a document,4
3093,Markup,markup a href foo foo a,4
