Repository,Issue/PR Number,Type,Author,Date,Comment Body,URL
facebook/react,35534,Pull Request,shiva-kar,2026-01-16 14:10:23+00:00,"When className attributes contain literal newlines (from multiline string literals), the React Compiler preserves these characters in the output. However, this causes hydration mismatches because different parts of the build pipeline may process these characters inconsistently between server and client bundles.

This fix normalizes whitespace characters (newlines and tabs) to single spaces in className/class attribute string literals during codegen:

- Added CLASS_WHITESPACE_NORMALIZE_PATTERN regex to match \n, \r, \t
- Added normalizeClassNameWhitespace() to convert newlines/tabs to spaces
- Added isClassNameAttribute() helper for className/class detection
- Modified codegenJsxAttribute() to apply normalization

This ensures consistent output regardless of how the source code formats the className, preventing hydration errors.

Fixes #35481

<!--
  Thanks for submitting a pull request!
  We appreciate you spending the time to work on these changes. Please provide enough information so that others can review your pull request. The three fields below are mandatory.

  Before submitting a pull request, please make sure the following is done:

  1. Fork [the repository](https://github.com/facebook/react) and create your branch from `main`.
  2. Run `yarn` in the repository root.
  3. If you've fixed a bug or added code that should be tested, add tests!
  4. Ensure the test suite passes (`yarn test`). Tip: `yarn test --watch TestName` is helpful in development.
  5. Run `yarn test --prod` to test in the production environment. It supports the same options as `yarn test`.
  6. If you need a debugger, run `yarn test --debug --watch TestName`, open `chrome://inspect`, and press ""Inspect"".
  7. Format your code with [prettier](https://github.com/prettier/prettier) (`yarn prettier`).
  8. Make sure your code lints (`yarn lint`). Tip: `yarn linc` to only check changed files.
  9. Run the [Flow](https://flowtype.org/) type checks (`yarn flow`).
  10. If you haven't already, complete the CLA.

  Learn more about contributing: https://reactjs.org/docs/how-to-contribute.html
-->

## Summary

<!--
 Explain the **motivation** for making this change. What existing problem does the pull request solve?
-->

## How did you test this change?

<!--
  Demonstrate the code is solid. Example: The exact commands you ran and their output, screenshots / videos if the pull request changes the user interface.
  How exactly did you verify that your PR solves the issue you wanted to solve?
  If you leave this empty, your PR will very likely be closed.
-->
",https://github.com/facebook/react/pull/35534
facebook/react,35534,Pull Request,meta-cla[bot],2026-01-16 14:10:31+00:00,"Hi @shiva-kar! 

Thank you for your pull request and welcome to our community. 

# Action Required

In order to merge **any pull request** (code, docs, etc.), we **require** contributors to sign our **Contributor License Agreement**, and we don't seem to have one on file for you.

# Process

In order for us to review and merge your suggested changes, please sign at <https://code.facebook.com/cla>. **If you are contributing on behalf of someone else (eg your employer)**, the individual CLA may not be sufficient and your employer may need to sign the corporate CLA.

Once the CLA is signed, our tooling will perform checks and validations. Afterwards, the **pull request will be tagged** with `CLA signed`. The tagging process may take up to 1 hour after signing. Please give it that time before contacting us about it.

If you have received this in error or have any questions, please contact us at [cla@meta.com](mailto:cla@meta.com?subject=CLA%20for%20facebook%2Freact%20%2335534). Thanks!",https://github.com/facebook/react/pull/35534#issuecomment-3760199148
facebook/react,35532,Pull Request,eps1lon,2026-01-16 09:12:50+00:00,"We no longer set the following globals since they're not read by DevTools. It also doesn't look like they had any meaningful values anymore which was hidden by missing Flow coverage.
- `__REACT_DEVTOOLS_APPEND_COMPONENT_STACK__`
- `__REACT_DEVTOOLS_BREAK_ON_CONSOLE_ERRORS__`
- `__REACT_DEVTOOLS_SHOW_INLINE_WARNINGS_AND_ERRORS__`
- `__REACT_DEVTOOLS_HIDE_CONSOLE_LOGS_IN_STRICT_MODE__`
- `__REACT_DEVTOOLS_DISABLE_SECOND_CONSOLE_LOG_DIMMING_IN_STRICT_MODE__`

`__REACT_DEVTOOLS_COMPONENT_FILTERS__` is still set since it's still in use (although not fully functional in the browser extension which I intend to fix).
",https://github.com/facebook/react/pull/35532
facebook/react,35531,Issue,hnamekawa,2026-01-16 05:57:23+00:00,"### What kind of issue is this?

- [x] React Compiler core (the JS output is incorrect, or your app works incorrectly after optimization)
- [ ] babel-plugin-react-compiler (build issue installing or using the Babel plugin)
- [ ] eslint-plugin-react-hooks (build issue installing or using the eslint plugin)
- [ ] react-compiler-healthcheck (build issue installing or using the healthcheck script)

### Link to repro

https://github.com/hnamekawa/movie-app

### Repro steps

1. Clone the repo

2. Run `npm run dev`

The app works fine without any errors

3. Run `npm run build`

The React compiler reports the errors shown below, and the app fails to load

Description
`src/types/Todo.ts` defines a `Todo` interface, and `src/App.tsx` imports and uses that interface.
It seems that TypeScript interfaces are not being handled correctly during the build process.

When `src/App.tsx` is transpiled, it makes sense that an error occurs because the Todo interface does not exist at runtime.
However, `npm run dev` does not show any error, while `npm run build` does.

This inconsistency between dev and build is the issue I want to report.


`npm run build` error log detail

```
src/App.tsx:2:1 - error TS6133: 'TodoItem' is declared but its value is never read.

2 import { TodoItem }  from ""./types/Todo"";
  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

src/App.tsx:9:38 - error TS2304: Cannot find name 'Todo'.

9   const [todos, setTodos] = useState<Todo[]>([]);
                                       ~~~~

src/App.tsx:12:50 - error TS2304: Cannot find name 'Todo'.

12   const [editingTodo, setEditingTodo] = useState<Todo | null>(null);
                                                    ~~~~

src/App.tsx:40:44 - error TS2304: Cannot find name 'Todo'.

40   const handleCreateOrUpdate = (data: Omit<Todo, ""id"">) => {
                                              ~~~~

src/App.tsx:52:22 - error TS2304: Cannot find name 'Todo'.

52       const newTodo: Todo = {
                        ~~~~

src/components/TodoForm.tsx:2:1 - error TS6133: 'TodoItem' is declared but its value is never read.

2 import { TodoItem }  from ""../types/Todo"";
  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

src/components/TodoForm.tsx:5:25 - error TS2304: Cannot find name 'Todo'.

5   onSubmit: (todo: Omit<Todo, ""id"">) => void; // pass data to parent
                          ~~~~

src/components/TodoForm.tsx:6:17 - error TS2304: Cannot find name 'Todo'.

6   editingTodo?: Todo | null;                  // editing ToDo
                  ~~~~

src/components/TodoForm.tsx:12:40 - error TS2304: Cannot find name 'Todo'.

12   const [status, setStatus] = useState<Todo[""status""]>(""Open"");
                                          ~~~~

src/components/TodoList.tsx:2:1 - error TS6133: 'TodoItem' is declared but its value is never read.

2 import { TodoItem }  from ""../types/Todo"";
  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

src/components/TodoList.tsx:5:10 - error TS2304: Cannot find name 'Todo'.

5   todos: Todo[];               // ToDo list to display
           ~~~~

src/components/TodoList.tsx:6:18 - error TS2304: Cannot find name 'Todo'.

6   onEdit: (todo: Todo) => void;// edit button clicked
                   ~~~~


Found 12 errors.

```

### How often does this bug happen?

Every time

### What version of React are you using?

19.2.0

### What version of React Compiler are you using?

1.0",https://github.com/facebook/react/issues/35531
facebook/react,35530,Pull Request,josephsavona,2026-01-16 01:15:28+00:00,"---
[//]: # (BEGIN SAPLING FOOTER)
Stack created with [Sapling](https://sapling-scm.com). Best reviewed with [ReviewStack](https://reviewstack.dev/facebook/react/pull/35530).
* __->__ #35530
* #35529
* #35528
* #35527
* #35526
* #35525
* #35524
* #35523
* #35522
* #35450
* #35298",https://github.com/facebook/react/pull/35530
facebook/react,35529,Pull Request,josephsavona,2026-01-16 01:15:26+00:00,"---
[//]: # (BEGIN SAPLING FOOTER)
Stack created with [Sapling](https://sapling-scm.com). Best reviewed with [ReviewStack](https://reviewstack.dev/facebook/react/pull/35529).
* __->__ #35529
* #35528
* #35298
* #35526
* #35523",https://github.com/facebook/react/pull/35529
facebook/react,35528,Pull Request,josephsavona,2026-01-16 01:15:25+00:00,"---
[//]: # (BEGIN SAPLING FOOTER)
Stack created with [Sapling](https://sapling-scm.com). Best reviewed with [ReviewStack](https://reviewstack.dev/facebook/react/pull/35528).
* #35529
* __->__ #35528
* #35298
* #35526
* #35523",https://github.com/facebook/react/pull/35528
facebook/react,35527,Pull Request,josephsavona,2026-01-16 01:15:23+00:00,"
Uses a simple algorithm for detecting writes of refs during render, since the ref _read_ during render is now handled as part of ValidateNoImpureValuesInRender.

---
[//]: # (BEGIN SAPLING FOOTER)
Stack created with [Sapling](https://sapling-scm.com). Best reviewed with [ReviewStack](https://reviewstack.dev/facebook/react/pull/35527).
* #35530
* #35529
* #35528
* __->__ #35527
* #35526
* #35525
* #35524
* #35523
* #35522
* #35450
* #35298",https://github.com/facebook/react/pull/35527
facebook/react,35526,Pull Request,josephsavona,2026-01-16 01:15:22+00:00,"
Passing `--nodebug` will disable debug mode, even if only a single fixture is filtered. This can help when running tests one by one and checking if their output is correct - debug mode causes tests to fail because there is extra/different error output.

---
[//]: # (BEGIN SAPLING FOOTER)
Stack created with [Sapling](https://sapling-scm.com). Best reviewed with [ReviewStack](https://reviewstack.dev/facebook/react/pull/35526).
* #35529
* #35528
* #35298
* __->__ #35526
* #35523",https://github.com/facebook/react/pull/35526
facebook/react,35525,Pull Request,josephsavona,2026-01-16 01:15:21+00:00,"---
[//]: # (BEGIN SAPLING FOOTER)
Stack created with [Sapling](https://sapling-scm.com). Best reviewed with [ReviewStack](https://reviewstack.dev/facebook/react/pull/35525).
* #35530
* #35529
* #35528
* #35527
* #35526
* __->__ #35525
* #35524
* #35523
* #35522
* #35450
* #35298",https://github.com/facebook/react/pull/35525
facebook/react,35524,Pull Request,josephsavona,2026-01-16 01:15:19+00:00,"
Rewrites ValidateNoRefAccessInRender to use a simpler single-pass algorithm
that only validates ref mutations (reads are now handled separately by
ValidateNoImpureValuesInRender).

The new approach:
- Tracks refs and ref values through the function
- Identifies functions that mutate refs (directly or transitively)
- Only errors when ref-mutating functions are called at the top level
- Supports null-guard exception: mutations inside `if (ref.current == null)`
  are allowed for the initialization pattern

This reduces ~700 lines of complex fixpoint iteration to ~400 lines of
straightforward forward data-flow analysis.

---
[//]: # (BEGIN SAPLING FOOTER)
Stack created with [Sapling](https://sapling-scm.com). Best reviewed with [ReviewStack](https://reviewstack.dev/facebook/react/pull/35524).
* #35530
* #35529
* #35528
* #35527
* #35526
* #35525
* __->__ #35524
* #35523
* #35522
* #35450
* #35298",https://github.com/facebook/react/pull/35524
