comment_sentence_id,class,category,category_encoded,partition,processed_text
1548,AbstractEngine,Summary,3,0,object serving as a base class for all engines
1550,AbstractHolidayCalendar,Summary,3,1,abstract interface to create holidays following certain rules
1,AccessMixin,Summary,3,1,abstract cbv mixin that gives access mixins the same customizable functionality
1552,AccessorCallableDocumenter,Summary,3,0,this documenter lets us removes call from the method signature for callable accessors like series plot
1558,AccessorDocumenter,Summary,3,1,specialized documenter subclass for accessors
4212,Adadelta,Summary,3,0,implements adadelta algorithm it has been proposed in adadelta an adaptive learning rate method arguments params iterable iterable of parameters to optimize or dicts defining parameter groups rho float optional coefficient used for computing a running average of squared gradients default 09 eps float optional term added to the denominator to improve numerical stability default 1e 6 lr float optional coefficient that scale delta before it is applied to the parameters default 10 weight decay float optional weight decay l2 penalty default 0
4237,Adam,Summary,3,0,implements adam algorithm it has been proposed in adam a method for stochastic optimization arguments params iterable iterable of parameters to optimize or dicts defining parameter groups lr float optional learning rate default 1e 3 betas tuple float float optional coefficients used for computing running averages of gradient and its square default 09 0999 eps float optional term added to the denominator to improve numerical stability default 1e 8 weight decay float optional weight decay l2 penalty default 0 amsgrad boolean optional whether to use the amsgrad variant of this algorithm from the paper on the convergence of adam and beyond default false adam a method for stochastic optimization https arxiv org abs 14126980 on the convergence of adam and beyond https openreview net forum id ryqu7f rz
4273,Adamax,Summary,3,1,implements adamax algorithm a variant of adam based on infinity norm it has been proposed in adam a method for stochastic optimization arguments params iterable iterable of parameters to optimize or dicts defining parameter groups lr float optional learning rate default 2e 3 betas tuple float float optional coefficients used for computing running averages of gradient and its square eps float optional term added to the denominator to improve numerical stability default 1e 8 weight decay float optional weight decay l2 penalty default 0
4296,AdaptiveMaxPool3d,Summary,3,0,applies a 3d adaptive max pooling over an input signal composed of several input planes the output is of size d x h x w for any input size the number of output features is equal to the number of input planes args output size the target output size of the image of the form d x h x w can be a tuple d h w or a single d for a cube d x d x d d h and w can be either a int or none which means the size will be the same as that of the input return indices if true will return the indices along with the outputs useful to pass to nn maxunpool3d default false examples target output size of 5x7x9 m nn adaptivemaxpool3d 5 7 9 input torch randn 1 64 8 9 10 output m input target output size of 7x7x7 cube m nn adaptivemaxpool3d 7 input torch randn 1 64 10 9 8 output m input target output size of 7x9x8 input torch randn 1 64 10 9 8 output m input
5,AmbiguityError,Summary,3,1,more than one migration matches a name prefix
2382,And,DevelopmentNotes,0,0,requires all given class parseexpression s to be found in the given order expressions may be separated by whitespace may be constructed using the operator may also be constructed using the operator which will suppress backtracking example integer word nums name expr oneormore word alphas expr and integer id name expr name integer age more easily written as expr integer id name expr name integer age
7,AppConfigStub,Summary,3,1,stub of an appconfig only provides a label and a dict of models
11,Archive,DevelopmentNotes,0,1,the external api class that encapsulates an archive implementation
11,Archive,Summary,3,1,the external api class that encapsulates an archive implementation
14,ArchiveIndexView,Summary,3,1,top level archive of date based items
2408,Argument,Summary,3,0,arguments are positional parameters to a command they generally provide fewer features than options but can have infinite nargs and are required by default all parameters are passed onwards to the parameter constructor
16,Atomic,Summary,3,1,guarantee the atomic execution of a given block when it s used as a decorator call wraps the execution of the decorated function in the instance itself used as a context manager when it s used as a context manager enter creates a transaction or a savepoint depending on whether a transaction is already in progress and exit commits the transaction or releases the savepoint on normal exit and rolls back the transaction or to the savepoint on exceptions it s possible to disable the creation of savepoints if the goal is to ensure that some code runs within a transaction without creating overhead a stack of savepoints identifiers is maintained as an attribute of the connection none denotes the absence of a savepoint this allows reentrancy even if the same atomicwrapper is reused
50,AtomicTests,Summary,3,1,tests for the atomic decorator and context manager the tests make assertions on internal attributes because there isn t a robust way to ask the database for its current transaction state since the decorator syntax is converted into a context manager see the implementation there are only a few basic tests with the decorator syntax and the bulk of the tests use the context manager syntax
912,Audio,Summary,3,1,create an audio object when this object is returned by an input cell or passed to the display function it will result in audio controls being displayed in the frontend only works in the notebook parameters data numpy array list unicode str or bytes can be one of numpy 1d array containing the desired waveform mono numpy 2d array containing waveforms for each channel shape nchan nsamples for the standard channel order see http msdn microsoft com en us library windows hardware dn653308 v vs 85 aspx list of float or integer representing the waveform mono string containing the filename bytestring containing raw pcm data or url pointing to a file on the web if the array option is used the waveform will be normalized if a filename or url is used the format support will be browser dependent url unicode a url to download the data from filename unicode path to a local file to load the data from embed boolean should the audio data be embedded using a data uri true or should the original source be referenced set this to true if you want the audio to playable later with no internet connection in the notebook default is true unless the keyword argument url is set then default value is false rate integer the sampling rate of the raw data only required when data parameter is being used as an array autoplay bool set to true if the audio should immediately start playing default is false normalize bool whether audio should be normalized rescaled to the maximum possible range default is true when set to false data must be between 1 and 1 inclusive otherwise an error is raised applies only when data is a list or array of samples other types of audio are never normalized examples generate a sound import numpy as np framerate 44100 t np linspace 0 5 framerate 5 data np sin 2 np pi 220 t np sin 2 np pi 224 t audio data rate framerate can also do stereo or more channels dataleft np sin 2 np pi 220 t dataright np sin 2 np pi 224 t audio dataleft dataright rate framerate audio http www nch com au acm 8k16bitpcm wav from url audio url http www w3schools com html horse ogg audio path to sound wav from file audio filename path to sound ogg audio b raw wav data from bytes audio data b raw wav data
5929,AuthBase,Summary,3,0,base class that all auth implementations derive from
62,AutoFieldMeta,Summary,3,1,metaclass to maintain backward inheritance compatibility for autofield it is intended that autofieldmixin become public api when it is possible to create a non integer automatically generated field using column defaults stored in the database in many areas django also relies on using isinstance to check for an automatically generated field as a subclass of autofield a new flag needs to be implemented on field to be used instead when these issues have been addressed this metaclass could be used to deprecate inheritance from autofield and use of isinstance with autofield for detecting automatically generated fields
1265,AutoTlsConnBroker,Summary,3,0,this broker tries to auto upgrade connections to use tls or at least do the ssl handshake here so we can record info about it
1263,AutocryptSearch,Summary,3,0,search for the autocrypt database
4460,BCEWithLogitsLoss,Summary,3,0,this loss combines a sigmoid layer and the bceloss in one single class this version is more numerically stable than using a plain sigmoid followed by a bceloss as by combining the operations into one layer we take advantage of the log sum exp trick for numerical stability the unreduced ie with attr reduction set to none loss can be described as math ell x y l l 1 dots l n top quad l n w n left y n cdot log sigma x n 1 y n cdot log 1 sigma x n right where math n is the batch size if attr reduction is not none default mean then math ell x y begin cases operatorname mean l text if reduction text mean operatorname sum l text if reduction text sum end cases this is used for measuring the error of a reconstruction in for example an auto encoder note that the targets t i should be numbers between 0 and 1 it s possible to trade off recall and precision by adding weights to positive examples in the case of multi label classification the loss can be described as math ell c x y l c l 1 c dots l n c top quad l n c w n c left p c y n c cdot log sigma x n c 1 y n c cdot log 1 sigma x n c right for example if a dataset contains 100 positive and 300 negative examples of a single class then pos weight for the class should be equal to math frac 300 100 3 the loss would act as if the dataset contains math 3 times 100 300 positive examples examples target torch ones 10 64 dtype torch float32 64 classes batch size 10 output torch full 10 64 0999 a prediction logit pos weight torch ones 64 all weights are equal to 1 criterion torch nn bcewithlogitsloss pos weight pos weight criterion output target log sigmoid 0999 tensor 03135 args weight tensor optional a manual rescaling weight given to the loss of each batch element if given has to be a tensor of size nbatch size average bool optional deprecated see attr reduction by default the losses are averaged over each loss element in the batch note that for some losses there are multiple elements per sample if the field attr size average is set to false the losses are instead summed for each minibatch ignored when reduce is false default true reduce bool optional deprecated see attr reduction losses are averaged or summed over observations for each minibatch depending on attr size average when attr reduce is false returns a loss per batch element instead and ignores attr size average default true reduction string optional specifies the reduction to apply to the output none mean sum none no reduction will be applied mean the sum of the output will be divided by the number of elements in the output sum the output will be summed note attr size average and attr reduce are in the process of being deprecated and in the meantime default mean pos weight tensor optional a weight of positive examples must be a vector with length equal to the number of classes shape input math n where math means any number of additional dimensions target math n same shape as the input output scalar if attr reduction is none then math n same examples loss nn bcewithlogitsloss input torch randn 3 requires grad true target torch empty 3 random 2 output loss input target output backward
218,BCryptSHA256PasswordHasher,Summary,3,0,secure password hashing using the bcrypt algorithm recommended this is considered by many to be the most secure algorithm but you must first install the bcrypt library
1642,BYearBegin,Summary,3,0,dateoffset increments between business year begin dates
84,BadSignature,Summary,3,1,signature does not match
86,BarAccount,Summary,3,0,a service specific account of type bar
1560,Base,Summary,3,0,common tests for all variations of intervalindex construction input data to be supplied in breaks format then converted by the subclass method get kwargs from breaks to the expected format
88,BaseCommand,Summary,3,0,the base class from which all management commands ultimately derive use this class if you want access to all of the mechanisms which parse the command line arguments and work out what code to call in response if you don t need to change any of that behavior consider using one of the subclasses defined in this file if you are interested in overriding customizing various aspects of the command parsing and execution behavior the normal flow works as follows 1 django admin or manage py loads the command class and calls its run from argv method 2 the run from argv method calls create parser to get an argumentparser for the arguments parses them performs any environment changes requested by options like pythonpath and then calls the execute method passing the parsed arguments 3 the execute method attempts to carry out the command by calling the handle method with the parsed arguments any output produced by handle will be printed to standard output and if the command is intended to produce a block of sql statements will be wrapped in begin and commit 4 if handle or execute raised any exception eg commanderror run from argv will instead print an error message to stderr thus the handle method is typically the starting point for subclasses many built in commands and command types either place all of their logic in handle or perform some additional parsing work in handle and then delegate from it to more specialized methods as needed several attributes affect behavior at various steps along the way help a short description of the command which will be printed in output transaction a boolean indicating whether the command outputs sql statements if true the output will automatically be wrapped with begin and commit default value is false requires migrations checks a boolean if true the command prints a warning if the set of migrations on disk don t match the migrations in the database requires system checks a boolean if true entire django project will be checked for errors prior to executing the command to validate an individual application s models rather than all applications models call self check app configs from handle where app configs is the list of application s configuration provided by the app registry
2418,BaseCommand_,Summary,3,1,a cli command
201,BaseDatabaseSchemaEditor,DevelopmentNotes,0,0,this class and its subclasses are responsible for emitting schema changing statements to the databases model creation removal alteration field renaming index fiddling and so on
201,BaseDatabaseSchemaEditor,Summary,3,0,this class and its subclasses are responsible for emitting schema changing statements to the databases model creation removal alteration field renaming index fiddling and so on
210,BaseExpression,Summary,3,0,base class for all query expressions
1569,BaseInterfaceTests,Summary,3,1,tests that the basic interface is satisfied interface
4344,BaseTestCase,Summary,3,0,base class used for all tensorboard tests
212,BaseUpdateView,Summary,3,0,base view for updating an existing object using this base class requires subclassing to provide a response mixin
216,BaseYearArchiveView,Summary,3,0,list of objects published in a given year
